Algoritmo,Caso,Desv,Tiempo(ms),Evals
BMB,GKD-b_10_n25_m7.txt,22.32,4.20,2546
BMB,GKD-b_11_n50_m5.txt,72.27,5.00,4237
BMB,GKD-b_12_n50_m5.txt,54.52,4.80,4008
BMB,GKD-b_13_n50_m5.txt,69.04,5.00,4353
BMB,GKD-b_14_n50_m5.txt,76.71,4.80,3701
BMB,GKD-b_15_n50_m5.txt,67.03,4.60,3724
BMB,GKD-b_16_n50_m15.txt,52.99,32.40,5606
BMB,GKD-b_17_n50_m15.txt,42.74,31.80,5486
BMB,GKD-b_18_n50_m15.txt,46.46,31.80,5639
BMB,GKD-b_19_n50_m15.txt,47.39,31.20,5684
BMB,GKD-b_1_n25_m2.txt,0.00,0.00,460
BMB,GKD-b_20_n50_m15.txt,44.97,32.00,5821
BMB,GKD-b_21_n100_m10.txt,62.18,25.80,6474
BMB,GKD-b_22_n100_m10.txt,56.82,26.60,6811
BMB,GKD-b_23_n100_m10.txt,56.82,25.00,6446
BMB,GKD-b_24_n100_m10.txt,72.38,24.20,6039
BMB,GKD-b_25_n100_m10.txt,40.60,24.80,6502
BMB,GKD-b_26_n100_m30.txt,55.53,151.80,5288
BMB,GKD-b_27_n100_m30.txt,65.62,147.60,5382
BMB,GKD-b_28_n100_m30.txt,69.14,151.20,5180
BMB,GKD-b_29_n100_m30.txt,60.01,146.40,6094
BMB,GKD-b_2_n25_m2.txt,0.00,0.00,460
BMB,GKD-b_30_n100_m30.txt,66.36,161.40,6121
BMB,GKD-b_31_n125_m12.txt,79.36,42.40,5412
BMB,GKD-b_32_n125_m12.txt,52.44,42.80,7937
BMB,GKD-b_33_n125_m12.txt,63.34,41.00,6790
BMB,GKD-b_34_n125_m12.txt,58.08,41.80,6470
BMB,GKD-b_35_n125_m12.txt,66.76,38.40,6759
BMB,GKD-b_36_n125_m37.txt,65.82,239.20,5259
BMB,GKD-b_37_n125_m37.txt,62.59,260.40,5243
BMB,GKD-b_38_n125_m37.txt,64.39,237.00,5366
