Algoritmo,Tamano,Desv,Tiempo(ms)
BMB,25,11.65,2.10
BMB,50,57.41,18.38
BMB,100,60.55,88.84
BMB,125,64.10,141.12
BMB,150,64.36,219.26
GRASP-SiBL,25,12.69,1.98
GRASP-SiBL,50,62.10,17.12
GRASP-SiBL,100,62.06,73.42
GRASP-SiBL,125,66.17,110.12
GRASP-SiBL,150,66.42,165.90
Greedy,25,41.97,0.00
Greedy,50,89.31,0.00
Greedy,100,86.13,0.00
Greedy,125,85.55,0.00
Greedy,150,85.84,0.00
ILS,25,11.25,2.02
ILS,50,54.96,16.64
ILS,100,58.16,76.30
ILS,125,58.68,117.84
ILS,150,62.40,182.46
LSrandom,25,26.00,0.04
LSrandom,50,68.43,3.10
LSrandom,100,60.92,52.04
LSrandom,125,60.75,121.34
LSrandom,150,52.38,223.08
Mejor Pŕactica 2,25,4.70,227.76
Mejor Pŕactica 2,50,41.50,284.34
Mejor Pŕactica 2,100,45.87,842.56
Mejor Pŕactica 2,125,49.07,1250.16
Mejor Pŕactica 2,150,47.85,1894.30
